index,connector,query,status,added,error,metadata
1,arxiv,Ia supernova light curve peak magnitude decline rate,completed,100,,"{""cache_hit"": false, ""attempts"": 1}"
2,openalex,Ia supernova light curve AND (peak magnitude OR decay rate) AND (host galaxy OR progenitor),completed,100,,"{""cache_hit"": false, ""attempts"": 1}"
3,zenodo,Ia supernova light curve data set,completed,24,,"{""cache_hit"": false, ""attempts"": 1}"
4,figshare,Ia supernova supplementary data,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
5,github,Ia supernova light curve analysis repository,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
6,semantic_scholar,Ia supernova origin progenitor model host galaxy metallicity,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+origin+progenitor+model+host+galaxy+metallicity&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 27.7s","{""attempts"": 2, ""retry_round"": 1}"
7,crossref,Ia supernova light curve peak magnitude decay rate,completed,83,,"{""cache_hit"": false, ""attempts"": 1}"
8,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,100,,"{""cache_hit"": false, ""attempts"": 1}"
9,openalex,Type Ia supernova light curve peak magnitude decay rate,completed,99,,"{""cache_hit"": false, ""attempts"": 1}"
10,semantic_scholar,Ia supernova light curve shape and luminosity relation,completed,90,,"{""cache_hit"": false, ""attempts"": 1}"
11,zenodo,Type Ia supernova light curve data multi-band photometry,completed,24,,"{""cache_hit"": false, ""attempts"": 1}"
12,figshare,Ia supernova light curve tables supplementary materials,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
13,github,Ia supernova light curve analysis code repository,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
14,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
15,openalex,Type Ia supernova light curve shape and luminosity correlation,completed,56,,"{""cache_hit"": false, ""attempts"": 1}"
16,semantic_scholar,Ia supernova progenitor models and ejecta composition,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+progenitor+models+and+ejecta+composition&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 27.9s","{""attempts"": 2, ""retry_round"": 1}"
17,zenodo,Type Ia supernova photometry light curves Open Supernova Catalog,completed,7,,"{""cache_hit"": false, ""attempts"": 1}"
18,figshare,Type Ia supernova light curve parameters table,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
19,arxiv,Ia supernova spectroscopic diversity peak luminosity correlation,completed,69,,"{""cache_hit"": false, ""attempts"": 1}"
20,zenodo,ZTF SN Ia DR2 photometry light curves,completed,17,,"{""cache_hit"": false, ""attempts"": 1}"
21,figshare,Type Ia supernova multicolor light curve shapes MLCS data,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
22,github,Type Ia supernova light curve modeling code,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
23,openalex,Type Ia supernova host galaxy environment morphology correlation,completed,74,,"{""cache_hit"": false, ""attempts"": 1}"
24,semantic_scholar,Ia supernova rise time decline rate correlation,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+rise+time+decline+rate+correlation&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 27.9s","{""attempts"": 2, ""retry_round"": 1}"
25,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,100,,"{""cache_hit"": false, ""attempts"": 1}"
26,openalex,Type Ia supernova light curve brightness decline rate,completed,99,,"{""cache_hit"": false, ""attempts"": 1}"
27,semantic_scholar,Ia supernova photometry peak luminosity decline rate,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+photometry+peak+luminosity+decline+rate&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 12.2s","{""attempts"": 2, ""retry_round"": 1}"
28,crossref,10.1086/513732,completed,1,,"{""cache_hit"": false, ""attempts"": 1}"
29,zenodo,Type Ia supernova light curve data,completed,24,,"{""cache_hit"": false, ""attempts"": 1}"
30,figshare,Type Ia supernova supplementary data,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
31,github,ia-sn-lightcurves dataset,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
32,arxiv,Type Ia supernova light curve peak magnitude decline rate,completed,0,,"{""cache_hit"": false, ""attempts"": 1}"
33,openalex,Type Ia supernova light curve shape brightness correlation,completed,41,,"{""cache_hit"": false, ""attempts"": 1}"
34,semantic_scholar,Ia supernova bolometric light curve modeling radioactive decay,failed,0,"JSON request failed: url=https://api.semanticscholar.org/graph/v1/paper/search?query=Ia+supernova+bolometric+light+curve+modeling+radioactive+decay&limit=100&fields=title%2Cabstract%2Cauthors%2Cyear%2Cvenue%2Curl%2CopenAccessPdf%2CexternalIds%2CcitationCount, attempts=3, error=provider circuit open for host=api.semanticscholar.org; retry after 12.2s","{""attempts"": 2, ""retry_round"": 1}"
35,zenodo,Type Ia supernova photometry light curve data,completed,8,,"{""cache_hit"": false, ""attempts"": 1}"
36,figshare,Type Ia supernova light curve tables supplementary material,failed,0,"JSON request failed: url=https://api.figshare.com/v2/articles/search, attempts=3, error=HTTP Error 403: Forbidden","{""attempts"": 2, ""retry_round"": 1}"
37,arxiv,Type Ia supernova light curve peak magnitude decline rate host galaxy environment,completed,46,,"{""cache_hit"": false, ""attempts"": 1}"
