title,authors,publication_date,venue,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons,supernova_name,redshift,peak_magnitude,filter_band,decay_rate,observation_telescope,host_galaxy_type,fit_method,fit_parameters,residual_std_dev,chi_squared,progenitor_model,paper_title,material,method,metric_value,unit,condition,metric_name,source_1,value_1,source_2,value_2,discrepancy_reason
Timescale Stretch Parameterization of Type Ia Supernova B-band Light Curves,"['G. Goldhaber', 'D. E. Groom', 'A. Kim', 'G. Aldering', 'P. Astier', 'A. Conley', 'S. E. Deustua', 'R. Ellis', 'S. Fabbro', 'A. S. Fruchter', 'A. Goobar', 'I. Hook', 'M. Irwin', 'M. Kim', 'R. A. Knop', 'C. Lidman', 'R. McMahon', 'P. E. Nugent', 'R. Pain', 'N. Panagia', 'C. R. Pennypacker', 'S. Perlmutter', 'P. Ruiz-Lapuente', 'B. Schaefer', 'N. A. Walton', 'T. York', 'The Supernova Cosmology Project']",2001-04-24,arXiv:0104382v1,dyn_7d0d3a7e2b,paper_metadata,arxiv_0104382v1_timescale_stretch_parameterization_of_type_ia_supernova_b_band_light_curves.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0104382v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Light Curve Models for SN 2009dc,['Yasuomi Kamiya'],2013-02-14,arXiv:1302.3375v1,dyn_9e1fd0befd,paper_metadata,arxiv_1302_3375v1_light_curve_models_for_sn_2009dc.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1302.3375v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
"A COLIBRI Photometric Study of SN 2025bvm: A Normal, Slowly Declining Type Ia Supernova","['Diego Hernando Gonzalez-Buitrago', 'Maria Teresa Garcia-Diaz', 'Alberto Emiliano Montoya-Olivo', 'Sergio Sanchez-Sanjuan', 'Hector Avila-Mogollon']",2026-01-12,arXiv:2601.07745v2,dyn_7fc7904252,paper_metadata,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2601.07745v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Constraining the Properties of SNe~Ia Progenitors from Light Curves,"['B. Sadler', 'P. Hoeflich', 'E. Baron', 'K. Krisciunas', 'G. Folatelli', 'M. Hamuy', 'M. Khokhlov. M. Phillips', 'N. Suntzeff', 'L. Wang']",2011-09-16,arXiv:1109.3629v1,dyn_0e5a3929ed,paper_metadata,arxiv_1109_3629v1_constraining_the_properties_of_sne_ia_progenitors_from_light_curves.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1109.3629v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF SNe Ia DR2: Towards cosmology-grade ZTF supernova light curves using scene modeling photometry,"['L. Lacroix', 'N. Regnault', 'T. de Jaeger', 'M. Le Jeune', 'M. Betoule', 'J. -M. Colley', 'M. Bernard', 'M. Rigault', 'M. Smith', 'A. Goobar', 'K. Maguire', 'G. Dimitriadis', 'J. Nordin', 'J. Johansson', 'M. Aubert', 'C. Barjou', 'E. C. Bellm', 'S. Bongard', 'U. Burgaz', 'B. Carreres', 'D. Fouchez', 'F. Feinstein', 'L. Galbany', 'M. Ginolin', 'M. Graham', 'D. Kuhn', 'R. R. Laher', 'T. E. Müller-Bravo', 'J. Neveu', 'M. Osman', 'B. Popovic', 'B. Racine', 'P. Rosnet', 'D. Rosselli', 'R. Smith', 'J. Sollerman', 'J. H. Terwel', 'A. Townsend', 'A. Wold']",2025-09-04,arXiv:2509.04073v1,dyn_50ac93220b,paper_metadata,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2509.04073v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Model independent bounds on Type Ia supernova absolute peak magnitude,"['Bikash R. Dinda', 'Narayan Banerjee']",2022-08-31,arXiv:2208.14740v2,dyn_b63b05fb74,paper_metadata,arxiv_2208_14740v2_model_independent_bounds_on_type_ia_supernova_absolute_peak_magnitude.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2208.14740v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Can the violent merger of white dwarfs explain the slowest declining Type Ia supernova SN 2011aa?,"['Anirban Dutta', 'G C Anupama', 'N K Chakradhari', 'D K Sahu']",2022-09-01,arXiv:2209.00569v1,dyn_effa56b6e2,paper_metadata,arxiv_2209_00569v1_can_the_violent_merger_of_white_dwarfs_explain_the_slowest_declining_type_ia_sup.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2209.00569v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
A Search for New Candidate Super-Chandrasekhar-Mass Type Ia Supernovae in the Nearby Supernova Factory Dataset,"['The Nearby Supernova Factory', ':', 'R. Scalzo', 'G. Aldering', 'P. Antilogus', 'C. Aragon', 'S. Bailey', 'C. Baltay', 'S. Bongard', 'C. Buton', 'A. Canto', 'F. Cellier-Holzem', 'M. Childress', 'N. Chotard', 'Y. Copin', 'H. K. Fakhouri', 'E. Gangler', 'J. Guy', 'E. Y. Hsiao', 'M. Kerschhaggl', 'M. Kowalski', 'P. Nugent', 'K. Paech', 'R. Pain', 'E. Pecontal', 'R. Pereira', 'S. Perlmutter', 'D. Rabinowitz', 'M. Rigault', 'K. Runge', 'G. Smadja', 'C. Tao', 'R. C. Thomas', 'B. A. Weaver', 'C. Wu']",2012-07-11,arXiv:1207.2695v3,dyn_6b31cf9844,paper_metadata,arxiv_1207_2695v3_a_search_for_new_candidate_super_chandrasekhar_mass_type_ia_supernovae_in_the_ne.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1207.2695v3,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Late Light Curves of Normal Type Ia Supernovae,"['Jessica C. Lair', 'Mark D. Leising', 'Peter A. Milne', 'G. Grant Williams']",2006-10-03,arXiv:0610084v1,dyn_065092e913,paper_metadata,arxiv_0610084v1_late_light_curves_of_normal_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0610084v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
An investigation of $^{56}$Ni shells as the source of early light curve bumps in type Ia supernovae,"['M. R. Magee', 'K. Maguire']",2020-07-04,arXiv:2007.02101v2,dyn_96c9fb27fe,paper_metadata,arxiv_2007_02101v2_an_investigation_of_56_ni_shells_as_the_source_of_early_light_curve_bumps_in_typ.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2007.02101v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
