record_id,paper_title,material,method,metric_name,metric_value,unit,condition,source_file,source_type,page,evidence_text,confidence,warnings,raw
rec_18b31e87af,Diversity of Decline Rate Corrected Type Ia Supernova Rise Times: One Mode or Two?,SN 1998aq,aquaa algorithm and simple parabolic fits to early data,difference_in_exploded_time,0.01,day,average difference between aquaa and simple parabolic fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,"From these simple ﬁts, texpl on average diﬀered by only +0.01 days from those of aquaa, with an rms diﬀerence of 0.33 days.",0.85,[],"{'entity': 'SN 1998aq', 'entity_type': 'supernova', 'attributes': {'section_title': '4.1. Correcting the Rise Time for Decline Rate', 'section_type': 'method', 'page_start': 7, 'page_end': 7}, 'section_title': '4.1. Correcting the Rise Time for Decline Rate', 'section_type': 'method', 'page_start': 7, 'page_end': 7}"
rec_5c59fd13cb,Diversity of Decline Rate Corrected Type Ia Supernova Rise Times: One Mode or Two?,SN 1998aq,aquaa algorithm and simple parabolic fits to early data,rms_difference_in_exploded_time,0.33,day,root mean square difference between aquaa and simple parabolic fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,"From these simple ﬁts, texpl on average diﬀered by only +0.01 days from those of aquaa, with an rms diﬀerence of 0.33 days.",0.85,[],"{'entity': 'SN 1998aq', 'entity_type': 'supernova', 'attributes': {'section_title': '4.1. Correcting the Rise Time for Decline Rate', 'section_type': 'method', 'page_start': 7, 'page_end': 7}, 'section_title': '4.1. Correcting the Rise Time for Decline Rate', 'section_type': 'method', 'page_start': 7, 'page_end': 7}"
rec_ec01834c60,Explosion Models for Type Ia Supernovae: A Comparison with Observed Light Curves,37 SNe Ia parameterized explosion models,"One-dimensional Lagrangian hydrodynamics with artificial viscosity (Khokhlov, 1991ab); radiation-hydro codes with nuclear networks (Höflich et al. 1995b); piecewise parabolic method (Collela and Woodward 1984); implicit radiation transport via moment equations; expansion opacities similar to Karp, Lasher & Salpeter (1977); detailed equation of state; postprocessing with 216-isotope network; NLTE spectra construction (H95); Monte Carlo γ-ray transport; monochromatic colors calculated using 100 discrete wavelength bands",accuracy of energy release,0.02,dimensionless,in reduced network compared to approximations used previously,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7,"The accuracy of the energy release has been found to be about 1 to 3 % in the reduced network compared to about 10 % for the approximations used previously (Khokhlov, 1991ab).",0.5,['metric_value not found in evidence_text'],"{'entity': 'energy release accuracy', 'entity_type': 'model performance metric', 'section_title': '2. Models', 'section_type': 'method', 'page_start': 7, 'page_end': 7, 'attributes': {'network_type': 'reduced network (20 isotopes)', 'comparison_baseline': 'previous approximations', 'error_range_percent': '1-3%', 'reference': 'Khokhlov, 1991ab'}}"
rec_7c119b8616,"curves using scene modeling photometry L. Lacroix1, 2, 3⋆, N. Regnault2⋆⋆, T. de Jaeger2 , M. Le Jeune4 , M. Betoule2 , J.-M. Colley2 , M. Bernard2 ,",,The scene modeling method,parameter_vector_size,1000.0,dimensionless,typical size of the parameter vector,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,5,"The typical size of the parameter vector is∼1000, with typically∼100 SN fluxes.",0.9,[],"{'entity': 'parameter vector', 'entity_type': 'model parameter', 'attributes': {'description': 'total number of free parameters in the scene modeling fit', 'context': 'scene modeling method', 'section_title': '3.1. The Scene modeling Method', 'section_type': 'method', 'page_start': 5, 'page_end': 5}, 'section_title': '3.1. TheScenemodelingMethod', 'section_type': 'method', 'page_start': 5, 'page_end': 5}"
rec_a0017418ee,The Rising Light Curves of Type Ia Supernovae,,Power-law fitting to early light curve data,rise_time,17.38,day,SDSS survey,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,SDSS1 1. 8+0. 23 −0. 18 17. 38 ± 0. 17,0.5,['metric_value not found in evidence_text'],"{'entity': 'SDSS1', 'entity_type': 'survey', 'attributes': {'rise_time': 17.38, 'uncertainty_plus': 0.23, 'uncertainty_minus': 0.18, 'error': 0.17}, 'section_title': 'The Rising Light Curves of SNe Ia 3', 'section_type': 'results', 'page_start': 3, 'page_end': 3}"
rec_cd6f59cfc1,The Rising Light Curves of Type Ia Supernovae,,Power-law fitting to early light curve data,rise_time,18.03,day,LOSS survey,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,LOSS2 2. 2+0. 27 −0. 19 18. 03 ± 0. 24,0.5,['metric_value not found in evidence_text'],"{'entity': 'LOSS2', 'entity_type': 'survey', 'attributes': {'rise_time': 18.03, 'uncertainty_plus': 0.27, 'uncertainty_minus': 0.19, 'error': 0.24}, 'section_title': 'The Rising Light Curves of SNe Ia 3', 'section_type': 'results', 'page_start': 3, 'page_end': 3}"
rec_b04b45746b,The Rising Light Curves of Type Ia Supernovae,,Power-law fitting to early light curve data,rise_time,16.85,day,SNLS survey,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,SNLS3 1. 92+0. 31 −0. 37 16. 85+0. 54 −0. 81,0.5,['metric_value not found in evidence_text'],"{'entity': 'SNLS3', 'entity_type': 'survey', 'attributes': {'rise_time': 16.85, 'uncertainty_plus': 0.54, 'uncertainty_minus': 0.81}, 'section_title': 'The Rising Light Curves of SNe Ia 3', 'section_type': 'results', 'page_start': 3, 'page_end': 3}"
rec_1f6b2c9042,"A COLIBRI Photometric Study of SN 2025bvm: A Normal, Slowly Declining Type Ia Supernova",SN 2025bvm,photometric study using COLIBRI telescope observations,decay_rate,0.867,mag/100 days,B-band,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,3,Wefind avalueof ∆𝑚15(𝐵)=0.867±0.051 mag.,0.85,[],"{'entity': 'SN 2025bvm', 'entity_type': 'supernova', 'section_title': '3.1. LightCurvesandPhotometricParameters', 'section_type': 'results', 'page_start': 3, 'page_end': 3, 'attributes': {'filter_band': 'B', 'metric_type': 'delta_m15', 'description': 'difference between the peak and 15 days post-maximum'}}"
rec_22de64ae51,Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,,,accuracy,0.928571,dimensionless,Test Set,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,"Accuracy, Test Set, 0.928571",0.9,[],"{'entity': None, 'entity_type': None, 'attributes': {}, 'section_title': None, 'section_type': None, 'page_start': 0, 'page_end': 4, 'table_id': 'pdf_table_8e336324', 'table_row_range': {'start': 0, 'end': 4, 'total': 4}}"
rec_c021aa40e4,Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,,,accuracy,0.999846,dimensionless,Combined Set,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,"Accuracy, Combined Set, 0.999846",0.95,[],"{'entity': None, 'entity_type': None, 'attributes': {}, 'section_title': None, 'section_type': None, 'page_start': 0, 'page_end': 4, 'table_id': 'pdf_table_8e336324', 'table_row_range': {'start': 0, 'end': 4, 'total': 4}}"
