source_id,title,provider,source_type,published,year,decision,priority,source_role,priority_score,reason,matched_requirements,expected_extractable_fields,risk_notes,url,query,pdf_url,doi
src_00da5e05,Open Supernova Catalog,,open_database,,,deep_read,high,dataset,0.98,Open Supernova Catalog是Ia型超新星研究的核心开放数据库，集中收录了峰值星等、衰减率（Δm15）、宿主星系、红移等关键参数，支持跨研究比较，直接满足动态提取计划中所有高优先级字段。,"peak_magnitude, decay_rate, host_galaxy_type, redshift, filter_band, progenitor_model","supernova_name, redshift, peak_magnitude, filter_band, decay_rate, host_galaxy_type, progenitor_model",,https://www.open supernova catalog.org/,,,
src_7fe7ae82,Timescale Stretch Parameterization of Type Ia Supernova B-band Light Curves,arxiv,paper,2001-04-24T00:14:25Z,,deep_read,high,primary_paper,0.72,该论文提出并验证了光变曲线时间轴拉伸因子（stretch factor）的概念，是理解衰减率与峰值星等关系的奠基性工作，且其方法被广泛用于后续SALT2等模型，对建模与分类具有根本意义。,"decay_rate, light_curve_fit_parameters, observation_telescope, filter_band","supernova_name, redshift, peak_magnitude, filter_band, decay_rate, fit_method, fit_parameters, residual_std_dev",,http://arxiv.org/abs/astro-ph/0104382v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0104382v1,
src_24fdf9e4,The Standardizability of Type Ia Supernovae in the Near-Infrared: Evidence for a Peak Luminosity-Decline Rate Relation in the Near-Infrared,arxiv,paper,2012-01-13T18:50:31Z,,deep_read,high,primary_paper,0.72,研究近红外波段的标准化问题，发现J/H波段存在显著的峰值亮度-衰减率关系，为提升Ia型超新星作为标准烛光的精度提供关键证据，直接支持用户对衰减率与峰值星等关系的分析需求。,"peak_magnitude, decay_rate, filter_band, observation_telescope","supernova_name, redshift, peak_magnitude, filter_band, decay_rate, observation_telescope",,http://arxiv.org/abs/1201.2913v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1201.2913v2,
src_aa5dc52a,CfA3: 185 Type Ia Supernova Light Curves from the CfA,arxiv,paper,2009-01-30T00:07:27Z,,deep_read,high,primary_paper,0.72,CfA3是迄今最完整的本地Ia型超新星样本之一，提供了185个事件的同质化多波段测光数据，包含精确的峰值星等与衰减率测量，是构建高质量数据集的理想基础。,"peak_magnitude, decay_rate, filter_band, observation_telescope, host_galaxy_type","supernova_name, redshift, peak_magnitude, filter_band, decay_rate, observation_telescope, host_galaxy_type",,http://arxiv.org/abs/0901.4787v5,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/0901.4787v5,
src_fde53c75,ZTF SNe Ia DR2: Towards cosmology-grade ZTF supernova light curves using scene modeling photometry,arxiv,paper,2025-09-04T10:08:36Z,,deep_read,high,primary_paper,0.72,ZTF SN Ia DR2是目前最大规模的Ia型超新星样本（3628个），其光变曲线数据经过Scene Modeling Photometry处理，具备高精度，是进行大规模统计分析和模型验证的关键数据源。,"peak_magnitude, decay_rate, filter_band, observation_telescope, host_galaxy_type, redshift","supernova_name, redshift, peak_magnitude, filter_band, decay_rate, observation_telescope, host_galaxy_type",当前存在传感器效应（pocket-effect）影响绝对校准，需注意数据修正状态,http://arxiv.org/abs/2509.04073v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2509.04073v1,
src_a2eee53c,Multi-Color Light Curves of Type Ia Supernovae on the Color-Magnitude Diagram: a Novel Step Toward More Precise Distance and Extinction Estimates,arxiv,paper,2003-02-17T23:10:41Z,,deep_read,high,primary_paper,0.72,首次系统性地提出并验证了“颜色-星等关系”在光变曲线中的线性特性，可提供更精确的距离估计，是改进现有光变曲线拟合方法的重要依据。,"peak_magnitude, decay_rate, filter_band, observation_telescope","supernova_name, redshift, peak_magnitude, filter_band, decay_rate, observation_telescope",,http://arxiv.org/abs/astro-ph/0302341v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0302341v1,
src_35b7165b,"An Empirical Fitting Method to Type Ia Supernova Light Curves. III. A Three-Parameter Relationship: Peak Magnitude, Rise Time, and Photospheric Velocity",arxiv,paper,2017-12-05T06:26:44Z,,deep_read,high,primary_paper,0.72,提出基于上升时间、峰值速度与峰值星等的三参数关系模型，为理解光变曲线形状与物理起源之间的联系提供了新的物理解释框架。,"peak_magnitude, decay_rate, observation_telescope, host_galaxy_type","supernova_name, redshift, peak_magnitude, filter_band, decay_rate, observation_telescope, host_galaxy_type",,http://arxiv.org/abs/1712.01495v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/1712.01495v2,10.3847/1538-4357/aabaeb
src_8ed53284,Model independent bounds on Type Ia supernova absolute peak magnitude,arxiv,paper,2022-08-31T09:42:16Z,,deep_read,high,primary_paper,0.72,采用非参数方法对Ia型超新星峰值绝对星等进行模型独立约束，结果稳定在-19.4左右，为统一标准烛光的绝对亮度提供了强有力的支持。,"peak_magnitude, redshift, host_galaxy_type","supernova_name, redshift, peak_magnitude, host_galaxy_type",,http://arxiv.org/abs/2208.14740v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/2208.14740v2,10.1103/physrevd.107.063513
src_7ad95e90,"Type Ia Supernovae, the Hubble Constant, the Cosmological Constant, and the Age of the Universe",arxiv,paper,2001-05-23T17:58:10Z,,metadata_only,medium,supporting_paper,0.72,早期关于宇宙学常数的开创性论文，虽重要但其核心结论已被后续研究深化，仅作为背景文献保留，无需全文解析。,,,,http://arxiv.org/abs/astro-ph/0105413v2,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/0105413v2,
src_c6cff854,Time Dilation in the Light Curve of the Distant Type Ia Supernovae SN 1995K,arxiv,paper,1996-05-22T08:51:43Z,,metadata_only,medium,supporting_paper,0.72,首次通过时间膨胀验证宇宙膨胀，是历史里程碑，但内容与当前研究目标关联较弱，仅作元数据引用。,,,,http://arxiv.org/abs/astro-ph/9605134v1,Ia supernova light curve peak magnitude decline rate,https://arxiv.org/pdf/astro-ph/9605134v1,
