source_id,title,provider,source_type,relevance_score,recommended_action,should_ingest,reason,estimated_download_size,estimated_cost,risk,url,query,doi,pdf_url,open_access_url,metadata
src_154be166,The Supernova Legacy Survey (SNLS),,open_database,0.95,record_only,False,SNLS是大型巡天项目，但未提供具体数据链接或文件，仅作背景引用。,,unknown,low,https://snls.physics.ubc.ca/,,,,,"{""url"": ""https://snls.physics.ubc.ca/"", ""query"": null, ""doi"": null, ""pdf_url"": null, ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""metadata_reference"", ""selection_reason"": ""SNLS是大型巡天项目，但未提供具体数据链接或文件，仅作背景引用。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_d7fd1450,Las Cumbres Observatory Global Telescope Network (LCOGT),,open_database,0.9,record_only,False,LCOGT是望远镜网络，但未提供具体观测数据，仅作技术背景。,,unknown,low,https://lco.global/,,,,,"{""url"": ""https://lco.global/"", ""query"": null, ""doi"": null, ""pdf_url"": null, ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""metadata_reference"", ""selection_reason"": ""LCOGT是望远镜网络，但未提供具体观测数据，仅作技术背景。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_00da5e05,Open Supernova Catalog,,open_database,0.98,read_file_manifest,False,Open Supernova Catalog是Ia型超新星研究的核心开放数据库，集中收录了峰值星等、衰减率（Δm15）、宿主星系、红移等关键参数，支持跨研究比较，直接满足动态提取计划中所有高优先级字段。 Executor mapped deep_read to safe data/supplement inspection.,,unknown,low,https://www.open supernova catalog.org/,,,,,"{""url"": ""https://www.open supernova catalog.org/"", ""query"": null, ""doi"": null, ""pdf_url"": null, ""open_access_url"": null, ""selection_decision"": ""deep_read"", ""selection_priority"": ""high"", ""selection_role"": ""dataset"", ""selection_reason"": ""Open Supernova Catalog是Ia型超新星研究的核心开放数据库，集中收录了峰值星等、衰减率（Δm15）、宿主星系、红移等关键参数，支持跨研究比较，直接满足动态提取计划中所有高优先级字段。"", ""selection_matched_requirements"": [""peak_magnitude"", ""decay_rate"", ""host_galaxy_type"", ""redshift"", ""filter_band"", ""progenitor_model""], ""selection_expected_extractable_fields"": [""supernova_name"", ""redshift"", ""peak_magnitude"", ""filter_band"", ""decay_rate"", ""host_galaxy_type"", ""progenitor_model""], ""selection_risk_notes"": []}"
src_10c88488,NASA Exoplanet Archive - Supernovae Section,,open_database,0.75,record_only,False,NASA Exoplanet Archive含部分空间望远镜数据，但未明确列出Ia型超新星数据集，风险高。,,unknown,low,https://exoplanetarchive.ipac.caltech.edu/,,,,,"{""url"": ""https://exoplanetarchive.ipac.caltech.edu/"", ""query"": null, ""doi"": null, ""pdf_url"": null, ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""metadata_reference"", ""selection_reason"": ""NASA Exoplanet Archive含部分空间望远镜数据，但未明确列出Ia型超新星数据集，风险高。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": [""相关性低，可能无用""]}"
src_0dcd68a2,arXiv:astro-ph.HE - 超新星相关论文,,paper_search,0.92,record_only,False,arXiv搜索结果列表本身无具体内容，仅为索引页，无法提取有效数据。,,unknown,low,https://arxiv.org/list/astro-ph.HE/recent,Ia supernova light curve peak magnitude decline rate,,,,"{""url"": ""https://arxiv.org/list/astro-ph.HE/recent"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": null, ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""noise"", ""selection_reason"": ""arXiv搜索结果列表本身无具体内容，仅为索引页，无法提取有效数据。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": [""重复条目，非实际文献""]}"
src_03947007,Supplementary Materials of ApJ Papers on SN Ia,,supplementary_material,0.94,record_only,False,补充材料链接指向单篇论文，但未提供具体文件，无法确认是否包含所需数据。,,unknown,low,https://iopscience.iop.org/article/10.3847/1538-4357/abf6d2/suprep,,,,,"{""url"": ""https://iopscience.iop.org/article/10.3847/1538-4357/abf6d2/suprep"", ""query"": null, ""doi"": null, ""pdf_url"": null, ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""noise"", ""selection_reason"": ""补充材料链接指向单篇论文，但未提供具体文件，无法确认是否包含所需数据。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": [""链接可能失效或无内容""]}"
src_344df8c1,SIMBAD Astronomical Database,,open_database,0.93,record_only,False,SIMBAD是天文实体知识库，可辅助溯源，但本身不提供光变曲线数据，仅作背景参考。,,unknown,low,http://simbad.u-strasbg.fr/simbad/,Ia supernova,,,,"{""url"": ""http://simbad.u-strasbg.fr/simbad/"", ""query"": ""Ia supernova"", ""doi"": null, ""pdf_url"": null, ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""metadata_reference"", ""selection_reason"": ""SIMBAD是天文实体知识库，可辅助溯源，但本身不提供光变曲线数据，仅作背景参考。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_04a17e6c,GitHub - Ia Supernova Light Curve Repository,,repository,0.88,record_only,False,GitHub仓库包含Ia型超新星光变曲线数据集与Python脚本，适合检查代码流程与数据格式，但需先读README确认可用性。 Executor downgraded read_readme because provider is unknown.,,unknown,low,https://github.com/astrolab/ia-sn-lightcurves,,,,,"{""url"": ""https://github.com/astrolab/ia-sn-lightcurves"", ""query"": null, ""doi"": null, ""pdf_url"": null, ""open_access_url"": null, ""selection_decision"": ""read_readme"", ""selection_priority"": ""low"", ""selection_role"": ""code_repository"", ""selection_reason"": ""GitHub仓库包含Ia型超新星光变曲线数据集与Python脚本，适合检查代码流程与数据格式，但需先读README确认可用性。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": [""仓库无文件，需进一步检查""]}"
src_650a05f4,Type Ia Supernova Models and Progenitor Scenarios,arxiv,paper,0.72,read_metadata,False,论文摘要仅描述爆炸机制，未提供具体光变曲线数据或参数，无法提取所需字段。,,unknown,low,http://arxiv.org/abs/1302.3371v2,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/1302.3371v2,,"{""url"": ""http://arxiv.org/abs/1302.3371v2"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/1302.3371v2"", ""open_access_url"": null, ""selection_decision"": ""metadata_only"", ""selection_priority"": ""low"", ""selection_role"": ""noise"", ""selection_reason"": ""论文摘要仅描述爆炸机制，未提供具体光变曲线数据或参数，无法提取所需字段。"", ""selection_matched_requirements"": [], ""selection_expected_extractable_fields"": [], ""selection_risk_notes"": []}"
src_7fe7ae82,Timescale Stretch Parameterization of Type Ia Supernova B-band Light Curves,arxiv,paper,0.72,download_pdf,True,该论文提出并验证了光变曲线时间轴拉伸因子（stretch factor）的概念，是理解衰减率与峰值星等关系的奠基性工作，且其方法被广泛用于后续SALT2等模型，对建模与分类具有根本意义。,,medium,low,http://arxiv.org/abs/astro-ph/0104382v1,Ia supernova light curve peak magnitude decline rate,,https://arxiv.org/pdf/astro-ph/0104382v1,,"{""url"": ""http://arxiv.org/abs/astro-ph/0104382v1"", ""query"": ""Ia supernova light curve peak magnitude decline rate"", ""doi"": null, ""pdf_url"": ""https://arxiv.org/pdf/astro-ph/0104382v1"", ""open_access_url"": null, ""selection_decision"": ""deep_read"", ""selection_priority"": ""high"", ""selection_role"": ""primary_paper"", ""selection_reason"": ""该论文提出并验证了光变曲线时间轴拉伸因子（stretch factor）的概念，是理解衰减率与峰值星等关系的奠基性工作，且其方法被广泛用于后续SALT2等模型，对建模与分类具有根本意义。"", ""selection_matched_requirements"": [""decay_rate"", ""light_curve_fit_parameters"", ""observation_telescope"", ""filter_band""], ""selection_expected_extractable_fields"": [""supernova_name"", ""redshift"", ""peak_magnitude"", ""filter_band"", ""decay_rate"", ""fit_method"", ""fit_parameters"", ""residual_std_dev""], ""selection_risk_notes"": []}"
