supernova_name,fit_method,fit_parameters,residual_std_dev,chi_squared,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
SN 2025bvm,SALT2,"['mmax=15.8', 'tmax=+0 days', 'stretch=1.0']",,,dyn_38c9c0f119,light_curve_fits,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,2,3.1. Light Curves and Photometric Parameters,results,2,2,"These methods fit the light curves using empirical models that describe the evolution of the spectral energy distribution (SED) of a Type Ia supernova. By fitting these models to the multi-band photometric data, a robust and simultaneous estimation of the peak magnitude (𝑚max), the time of maximum light (𝑡max), and the light-curve shape parameters is obtained.",0.9,,
,,,,,dyn_15bd95f205,light_curve_fits,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3,3,"The details of the HST Cluster SN Survey are described in Dawson09. Here, we briefly summarize the survey and highlight the details relevant to the rate calculation. The survey targeted 25 massive galaxy clusters in a rolling search between July 2005 and December 2006. Clusters were selected from X-ray, optical and IR surveys and cover the redshift range 0.9 < z < 1.46.",0.85,required dynamic field missing: supernova_name; required dynamic field missing: fit_method; record contains extraction warnings that require review,record contains extraction warnings that require review
SN2018fhw,Power law fit,['power law exponent'],,,dyn_11f076c81e,light_curve_fits,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8,8,"Figure 2. Power law fit, residuals, and local background estimates for SN2018fhw near the time of first light. The small points are the individual 30 minute FFI exposures, and the larger circles are averages over eight hours. All units are flux relative to peak.",0.8,"Fit parameters and goodness-of-fit metrics (residual std dev, chi-squared) not quantified in text; inferred from figure description.; record contains extraction warnings that require review",record contains extraction warnings that require review
SN2018hss,not specified,,,,dyn_ff3fdb6b66,light_curve_fits,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8,8,"For SN2018hss, a bright star is extremely close to the SN in the image",0.5,"No information on fitting method, parameters, or fit quality provided; only mention of contamination issue.; record contains extraction warnings that require review; record confidence is below the review threshold",record contains extraction warnings that require review; record confidence is below the review threshold
,power law,"['A', 'B', 'β', 't0']",,,dyn_cf46b7d30b,light_curve_fits,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8,8,"We begin by parameterizing the light curves with a rising power law fit of the form F(t) = H(t −t0)A(t −t0)β + B (1) where t0 is the time of the first detection, A, B and β are constants, and H(t) is the Heaviside function.",0.85,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
,Markov Chain Monte Carlo (MCMC) with ensembles of walkers,"['burn-in period: 1500 iterations', 'sampling: 1500 × k iterations', 'recorded every kth iteration where k is the autocorrelation time', 'final probability distributions contain ~3 × 10⁵ samples']",,,dyn_dd02ecff92,light_curve_fits,arxiv_1402_6842v1_type_ia_supernova_bolometric_light_curves_and_ejected_mass_estimates_from_the_ne.pdf,pdf_text,7,4 MODELING,method,7,7,"We verify that convergence has been reached by comparing runs of different lengths. In general we find a “burn-in” period of 1500 iterations, which are then discarded, suffices to remove dependence on the initial conditions. Our results are then obtained by sampling for an additional 1500 × k iterations, recording every kth iteration where k is the autocorrelation time in iterations of the chain. Our final probability distributions contain about 3 × 10⁵ samples over all parameter configurations for each SN.",0.5,required dynamic field missing: supernova_name; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review
,SiFTO,"['stretch=s', 'time of maximum light in the rest-frame B-band=tmax', 'peak magnitude', 'colour parameter=c']",,,dyn_0b86510fb6,light_curve_fits,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,4,2.2 SN photometry,method,4,4,"We determine the light curve parameters for each SN Ia in our sample using the SiFTO light curve ﬁtter (Conley et al. 2008). SiFTO manipulates the properties of a time-series SN Ia spectral energy distribution (SED) in order to best ﬁt an observed light curve, returning the SN stretch ( s), the time of maximum light in the rest-frame B-band ( tmax), a peak magnitude, and a colour parameter c for SNe with data in more than one observed filter.",0.95,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 1990N,AQUAA,"['tBmax=8082.46', 'delta_m15=0.990']",,,dyn_b45cb9c81a,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,"TABLE 1 Results of AQUAA light-curve fits. SN tBmax (JD − 2,440,000) ∆ m15 (mag) Rise time (rest-frame days) Rise time − fall time (rest-frame days) Photometry references SN 1990N 8082 . 46 ± 0. 35 0 . 990 ± 0. 034 20 . 01 ± 0. 46 4 . 04 ± 0. 74 (1 , 2)",0.9,,
SN 1994D,AQUAA,"['tBmax=9432.29', 'delta_m15=1.344']",,,dyn_043c952c3e,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,"SN 1994D 9432 . 29 ± 0. 14 1 . 344 ± 0. 021 15 . 39 ± 0. 47 2 . 04 ± 0. 53 (3 , 4)",0.9,,
SN 1998aq,AQUAA,"['tBmax=10931.04', 'delta_m15=1.042']",,,dyn_3e04d3fd03,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7,7,"SN 1998aq 10931 . 04 ± 0. 14 1 . 042 ± 0. 021 17 . 52 ± 0. 58 2 . 03 ± 0. 64 (5 , 2)",0.9,,
