supernova_name,redshift,peak_magnitude,filter_band,decay_rate,observation_telescope,host_galaxy_type,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
SN 2025bvm,,15.8,r′,,,,dyn_c16cf1c06e,light_curve_metrics,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,2,3.1. Light Curves and Photometric Parameters,results,2.0,2.0,"The object’s brightest observed peak is in the r′-band, with an apparent magnitude of 𝑚 𝑟 ≈15.8 mag.",0.95,required dynamic field missing: redshift; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
,,,,,Hubble Space Telescope,,dyn_01252665af,light_curve_metrics,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,This paper is one of a series of ten papers that report supernova results from the HST Cluster Supernova Survey,0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
SN2018fhw,,,,,TESS,,dyn_48b09d8cd4,light_curve_metrics,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8.0,8.0,"For SN2018fhw, we found better results using FFIs without Gaussian smoothing in the image subtraction (see §3). A detailed discussion of detrending for SN2018fhw is given by Vallely et al. (2019, see their Figures 3 and 5).",0.7,"Redshift, peak magnitude, filter band, decay rate, and host galaxy type not reported in this section; only observation telescope (TESS) is explicitly mentioned.; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review",record contains extraction warnings that require review
SN2018hss,,,,,TESS,,dyn_5693da9e84,light_curve_metrics,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8.0,8.0,"For SN2018hss, a bright star is extremely close to the SN in the image",0.7,"Redshift, peak magnitude, filter band, decay rate, and host galaxy type not reported in this section; only observation telescope (TESS) is explicitly mentioned.; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review",record contains extraction warnings that require review
,,,,,,,dyn_99286be201,light_curve_metrics,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,4,2.2 SN photometry,method,4.0,4.0,"Our method is sensitive to variation in the data at very early times, i.e. very low flux levels, it is important to test for systematic effects. This was performed by averaging the points before the SN first light. Prior to the explosion, the flux level is consistent with 0, with no evidence of a systematic offset, as shown in figure 1.",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 1990N,,,,0.99,,,dyn_048af52736,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1990N 8082 . 46 ± 0. 35 0 . 990 ± 0. 034 20 . 01 ± 0. 46 4 . 04 ± 0. 74 (1 , 2)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 1994D,,,,1.344,,,dyn_5f28f11624,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1994D 9432 . 29 ± 0. 14 1 . 344 ± 0. 021 15 . 39 ± 0. 47 2 . 04 ± 0. 53 (3 , 4)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 1998aq,,,,1.042,,,dyn_323ec65267,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1998aq 10931 . 04 ± 0. 14 1 . 042 ± 0. 021 17 . 52 ± 0. 58 2 . 03 ± 0. 64 (5 , 2)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2001el,,,,1.168,,,dyn_7bdf8f7b7b,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2001el 12182 . 19 ± 0. 17 1 . 168 ± 0. 021 18 . 00 ± 0. 56 3 . 57 ± 0. 63 (6 , 7)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2002bo,,,,1.162,,,dyn_767cd66954,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2002bo 12356 . 39 ± 0. 20 1 . 162 ± 0. 031 16 . 05 ± 0. 37 1 . 57 ± 0. 53 (8 , 9, 10)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review
