paper_title,material,method,metric_value,unit,condition,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
A Colibri Photometric Study of SN 2025bvm: A Normal Slowly Declining Type Ia Supernova,multi-band optical light curves from Figure 2,SNooPy2 and SALT2 via sncosmo,15.8,mag,r′-band peak magnitude,dyn_45966ff6c1,other_required_fields,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,2,3.1. Light Curves and Photometric Parameters,results,2.0,2.0,"The object’s brightest observed peak is in the r′-band, with an apparent magnitude of 𝑚 𝑟 ≈15.8 mag.",0.95,,
The Hubble Space Telescope Cluster Supernova Survey II: The Type Ia Supernova Rate,HST Cluster Supernova Survey,rate calculation based on supernova selection and efficiency studies,,,0.9 < z < 1.46 clusters,dyn_630909275c,other_required_fields,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,"This paper is one of a series of ten papers that report supernova results from the HST Cluster Supernova Survey. In this paper, we calculate the SN Ia rate in 0.9 < z < 1.46 clusters observed in the HST Cluster Supernova Survey.",0.5,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review
The Hubble Space Telescope Cluster Supernova Survey II: The Type Ia Supernova Rate in High-Redshift Galaxy Clusters,HST Cluster SN Survey program,Rolling search targeting 25 massive galaxy clusters between July 2005 and December 2006,,,"Redshift range 0.9 < z < 1.46; clusters selected from X-ray, optical and IR surveys",dyn_a739d338cd,other_required_fields,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,"The details of the HST Cluster SN Survey are described in Dawson09. Here, we briefly summarize the survey and highlight the details relevant to the rate calculation. The survey targeted 25 massive galaxy clusters in a rolling search between July 2005 and December 2006. Clusters were selected from X-ray, optical and IR surveys and cover the redshift range 0.9 < z < 1.46.",0.9,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review,record contains extraction warnings that require review
Early Time Light Curves of Type Ia Supernovae Observed with TESS,Appendix B,"Detrending via contaminating star light curve extraction, median filtering, and scaling/shift fitting",flux relative to peak,relative,Near bright star causing residual contamination in difference images,dyn_8ea8c4fb95,other_required_fields,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8.0,8.0,"We were able to remove the main effects of these residuals by (1) extracting light curves of the contaminating stars, (2) smoothing with a median ﬁlter, and (3) ﬁtting a shift and scale factor to the affected parts of the SNe light curves. We then subtracted the scaled and smoothed star light curve from the SN light curve. The light curves of the contaminating star, the smoothed model, the ﬁt to the SN light curve, and the corrected SN light curve are shown in Appendix B for all affected sources.",0.9,,
Early-time Light Curves of Type Ia Supernovae Observed with TESS,Appendix A,bootstrap resampling,β,dimensionless,fitted between 0.5 and 4.0,dyn_ff7b090898,other_required_fields,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8.0,8.0,"We constrain β to be between 0.5 and 4.0, and we require that A be greater than 0. Following Olling et al. (2015), we only fit the light curves up to 40% of the peak flux. We estimate the uncertainties on fitted parameters with 1000 iterations of bootstrap resampling of the light curves, and report",0.9,,
Type Ia Supernova Bolometric Light Curves and Ejected Mass Estimates from the SNfactory,Supplementary modeling code and suite of contemporary SN Ia explosion models,Markov Chain Monte Carlo (MCMC) with ensembles of walkers using adaptive step sizes ('temperatures') and information sharing between chains,3 × 10⁵ samples over all parameter configurations,samples,Convergence verified via comparison of runs of different lengths; burn-in period of 1500 iterations discarded,dyn_29a0e21d83,other_required_fields,arxiv_1402_6842v1_type_ia_supernova_bolometric_light_curves_and_ejected_mass_estimates_from_the_ne.pdf,pdf_text,7,4 MODELING,method,7.0,7.0,"We verify that convergence has been reached by comparing runs of different lengths. In general we find a “burn-in” period of 1500 iterations, which are then discarded, suffices to remove dependence on the initial conditions. Our results are then obtained by sampling for an additional 1500 × k iterations, recording every kth iteration where k is the autocorrelation time in iterations of the chain. Our final probability distributions contain about 3 × 10⁵ samples over all parameter configurations for each SN.",0.5,evidence text not found on recorded PDF page,
The rising light curves of Type Ia supernovae,online supplemental material,SiFTO light curve fitter,,,,dyn_72fe6d2db5,other_required_fields,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,4,2.2 SN photometry,method,4.0,4.0,"An example of the data used can be found in table 3, and the entire dataset is available in online supplemental material.",0.9,required dynamic field missing: metric_value; required dynamic field missing: unit; required dynamic field missing: condition; record contains extraction warnings that require review,record contains extraction warnings that require review
Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,0.990,mag,delta m15,dyn_5f7899cf40,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"TABLE 1 Results of AQUAA light-curve fits. SN tBmax (JD − 2,440,000) ∆ m15 (mag) Rise time (rest-frame days) Rise time − fall time (rest-frame days) Photometry references SN 1990N 8082 . 46 ± 0. 35 0 . 990 ± 0. 034 20 . 01 ± 0. 46 4 . 04 ± 0. 74 (1 , 2)",0.95,,
Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.344,mag,delta m15,dyn_07a5c2060f,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1994D 9432 . 29 ± 0. 14 1 . 344 ± 0. 021 15 . 39 ± 0. 47 2 . 04 ± 0. 53 (3 , 4)",0.95,,
Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.042,mag,delta m15,dyn_49bdc8345e,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1998aq 10931 . 04 ± 0. 14 1 . 042 ± 0. 021 17 . 52 ± 0. 58 2 . 03 ± 0. 64 (5 , 2)",0.95,,
