supernova_name,progenitor_model,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
SN 2025bvm,no clear evidence,dyn_f8cd3233f2,progenitor_evidence,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,2,3.1. Light Curves and Photometric Parameters,results,2,2,"The shape of the light curves is characteristic of a Type Ia supernova (e.g., Filippenko, 1997). In particular, as shown in Figure 2, the light curves of SN 2025bvm provide a clear frame of reference by showing distinctive features of normal Type Ia supernovae.",0.8,,
,,dyn_58995362c2,progenitor_evidence,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3,3,"Cluster SNe Ia can also be used to trace the diffuse intracluster stellar component. Intracluster stars, bound to the cluster potential rather than individual galaxies, have been found to account for anywhere from 5% to 50% of the stellar mass in clusters (e.g., Ferguson et al. 1998; Feldmeier et al. 1998; Gonzalez et al. 2000; Feldmeier et al. 2004; Lin & Mohr 2004; Zibetti et al. 2005; Gonzalez et al. 2005; Krick et al. 2006; Mihos et al. 2005). The use of SNe Ia as tracers of this component was first demonstrated by Gal-Yam et al. (2003) who found two likely host-less SNe Ia out of a total of seven cluster SNe Ia in 0.06 < z < 0.19 Abell clusters.",0.9,required dynamic field missing: supernova_name; required dynamic field missing: progenitor_model; record contains extraction warnings that require review,record contains extraction warnings that require review
SN2018fhw,no clear evidence,dyn_c3e71eb14a,progenitor_evidence,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8,8,"For SN2018fhw, we found better results using FFIs without Gaussian smoothing in the image subtraction (see §3). A detailed discussion of detrending for SN2018fhw is given by Vallely et al. (2019, see their Figures 3 and 5).",0.6,,
SN2018hss,no clear evidence,dyn_98614080c8,progenitor_evidence,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8,BJD - 2457000,results,8,8,"For SN2018hss, a bright star is extremely close to the SN in the image",0.6,,
,,dyn_cd65ce2563,progenitor_evidence,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7,2. Models,method,7,7,A set of 37 SNe Ia parameterized explosion models has been considered which encompasses all currently discussed explosion scenarios (Table 1).,0.0,required dynamic field missing: supernova_name; required dynamic field missing: progenitor_model; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
,,dyn_f620a5d5e5,progenitor_evidence,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,2. Dataset,data,3,3,"The dataset comprises of 3628 Type Ia SNe in the redshift range 0.02 < z < 0.09. The dataset is spectroscopically complete up to z∼ 0.06 and has benefited from an exquisite photometric follow-up, using the ZTF survey (Bellm et al. 2019b) which aims to study the closeby dynamic Universe (Graham et al. 2019).",0.0,No specific progenitor model evidence mentioned for individual supernovae.; required dynamic field missing: supernova_name; required dynamic field missing: progenitor_model; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
,no clear evidence,dyn_2cf591d723,progenitor_evidence,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,1,ABSTRACT,abstract,1,1,The logical structure of the hierarchical model is represented by a directed acyclic graph.,0.7,No specific progenitor model is directly stated; 'no clear evidence' inferred from absence of discussion on progenitor systems.; required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
,,dyn_f8fc2f3504,progenitor_evidence,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,1,ABSTRACT,abstract,1,1,"The largest systematic uncertainty that limits the precision of rest-frame optical light curves is dust extinction in the host galaxy and the entanglement of dust reddening with the intrinsic color variations of SN (e.g., Conley et al. 2007).",0.0,required dynamic field missing: supernova_name; required dynamic field missing: progenitor_model; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold
SN 2011fe,no clear evidence,dyn_79298d89ae,progenitor_evidence,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3,3,All of these studies found n /greaterorequalslant2. Such early-time data are particularly valuable for placing constraints on the progenitor (Nugent et al. 2011) and the physical processes within the ejecta (Piro & Nakar 2013).,0.85,,
SN 2014J,no clear evidence,dyn_7f9bc775b7,progenitor_evidence,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,3,The Rising Light Curves of SNe Ia 3,results,3,3,All of these studies found n /greaterorequalslant2. Such early-time data are particularly valuable for placing constraints on the progenitor (Nugent et al. 2011) and the physical processes within the ejecta (Piro & Nakar 2013).,0.85,,
,ambiguous,dyn_f358d7ccf9,progenitor_evidence,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,7,5 SUB GROUP OF TYPE IA SUPERNOVAE,results,7,7,There are some observational indications that properties of SNe Ia are related to their environment. Hamuy et al. (1996) showed that the mean luminosity of SNe Ia in elliptical galaxies is fainter than that of SNe Ia in spiral galaxies. Mannucci et al. (2005) and Sullivan et al. (2006) also showed that the star-forming activity in a galaxy is related,0.85,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review
SN 2025bvm,normal Type Ia,dyn_4d790e081a,progenitor_evidence,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,3,3.1. LightCurvesandPhotometricParameters,results,3,3,"This value places SN 2025bvm firmly within the range of normal Type Ia supernovae (whose B-band range is between 0.7 and 1.7, according to Burns et al., 2014), confirming that SN 2025bvm is a normal Type Ia supernova belonging to the slow-declining subgroup.",0.9,,
SN 2018oh,56Ni shell model,dyn_aa0774fbec,progenitor_evidence,arxiv_2007_02101v2_an_investigation_of_56_ni_shells_as_the_source_of_early_light_curve_bumps_in_typ.pdf,pdf_text,7,4.1. SN2018oh,results,7,7,"Rather than a simple extended 56Ni distribution, Fig. 6 shows that models with 56Ni shells can broadly reproduce the light curve shape of SN 2018oh throughout its evolution to maximum light. The mass of the 56Ni shell required to match the flux excess is discussed.",0.5,evidence text not found on recorded PDF page,
SN 2018oh,ambiguous,dyn_1ff12fd7be,progenitor_evidence,arxiv_2007_02101v2_an_investigation_of_56_ni_shells_as_the_source_of_early_light_curve_bumps_in_typ.pdf,pdf_text,7,4.1. SN2018oh,results,7,7,"cess of SN 2018oh is between 0.02 – 0.03 M⊙. This is consistent with the value found by Dimitriadis et al. (2019), although we note that differences in the total 56Ni mass and distribution, and density profile compared to our models likely accounts for differences in the overall light curve shapes.",0.85,,
